ID,óöóID,ì˙éû,ê¸åaÉ m
23995622469,24705,2021-11-23 06:05:10.147,0.11903
23995622470,24705,2021-11-23 06:05:10.177,0.11986
23995622471,24705,2021-11-23 06:05:10.183,0.12056
23995622472,24705,2021-11-23 06:05:10.207,0.1168
23995622473,24705,2021-11-23 06:05:10.227,0.12239
23995622474,24705,2021-11-23 06:05:10.247,0.11885
23995622475,24705,2021-11-23 06:05:10.267,0.11624
23995622476,24705,2021-11-23 06:05:10.287,0.1177
23995622477,24705,2021-11-23 06:05:10.307,0.11798
23995622478,24705,2021-11-23 06:05:10.327,0.12021
23995622479,24705,2021-11-23 06:05:10.347,0.11798
23995622480,24705,2021-11-23 06:05:10.367,0.11822
23995622481,24705,2021-11-23 06:05:10.387,0.11996
23995622482,24705,2021-11-23 06:05:10.403,0.11711
23995622483,24705,2021-11-23 06:05:10.427,0.11843
23995622484,24705,2021-11-23 06:05:10.447,0.11736
23995622485,24705,2021-11-23 06:05:10.477,0.11812
23995622486,24705,2021-11-23 06:05:10.487,0.11822
23995622487,24705,2021-11-23 06:05:10.507,0.11854
23995622488,24705,2021-11-23 06:05:10.527,0.11704
23995622489,24705,2021-11-23 06:05:10.547,0.11631
23995622490,24705,2021-11-23 06:05:10.567,0.11972
23995622491,24705,2021-11-23 06:05:10.587,0.11961
23995622492,24705,2021-11-23 06:05:10.607,0.12076
23995622493,24705,2021-11-23 06:05:10.630,0.11857
23995622494,24705,2021-11-23 06:05:10.643,0.12042
23995622495,24705,2021-11-23 06:05:10.667,0.11617
23995622496,24705,2021-11-23 06:05:10.687,0.11916
23995622497,24705,2021-11-23 06:05:10.707,0.11986
23995622498,24705,2021-11-23 06:05:10.727,0.11889
23995622499,24705,2021-11-23 06:05:10.747,0.12107
23995622500,24705,2021-11-23 06:05:10.767,0.12236
23995622501,24705,2021-11-23 06:05:10.787,0.11968
23995622502,24705,2021-11-23 06:05:10.807,0.12156
23995622503,24705,2021-11-23 06:05:10.827,0.11836
23995622504,24705,2021-11-23 06:05:10.847,0.12097
23995622505,24705,2021-11-23 06:05:10.867,0.11965
23995622506,24705,2021-11-23 06:05:10.887,0.11701
23995622507,24705,2021-11-23 06:05:10.907,0.11624
23995622508,24705,2021-11-23 06:05:10.933,0.11912
23995622509,24705,2021-11-23 06:05:10.947,0.12097
23995622510,24705,2021-11-23 06:05:10.967,0.11659
23995622511,24705,2021-11-23 06:05:10.987,0.11968
23995622512,24705,2021-11-23 06:05:11.007,0.11923
23995622513,24705,2021-11-23 06:05:11.027,0.12128
23995622514,24705,2021-11-23 06:05:11.047,0.11701
23995622515,24705,2021-11-23 06:05:11.067,0.11652
23995622516,24705,2021-11-23 06:05:11.087,0.11743
23995622517,24705,2021-11-23 06:05:11.110,0.11968
23995622518,24705,2021-11-23 06:05:11.127,0.11732
23995622519,24705,2021-11-23 06:05:11.147,0.11673
23995622520,24705,2021-11-23 06:05:11.167,0.11847
23995622521,24705,2021-11-23 06:05:11.187,0.11847
23995622522,24705,2021-11-23 06:05:11.207,0.1169
23995622523,24705,2021-11-23 06:05:11.233,0.11885
23995622524,24705,2021-11-23 06:05:11.247,0.11808
23995622525,24705,2021-11-23 06:05:11.267,0.11947
23995622526,24705,2021-11-23 06:05:11.287,0.11812
23995622527,24705,2021-11-23 06:05:11.307,0.12188
23995622528,24705,2021-11-23 06:05:11.327,0.12072
23995622529,24705,2021-11-23 06:05:11.347,0.11829
23995622530,24705,2021-11-23 06:05:11.367,0.11909
23995622531,24705,2021-11-23 06:05:11.387,0.12139
23995622532,24705,2021-11-23 06:05:11.407,0.11701
23995622533,24705,2021-11-23 06:05:11.427,0.11857
23995622534,24705,2021-11-23 06:05:11.447,0.11655
23995622535,24705,2021-11-23 06:05:11.467,0.1201
23995622536,24705,2021-11-23 06:05:11.487,0.11822
23995622537,24705,2021-11-23 06:05:11.507,0.1177
23995622538,24705,2021-11-23 06:05:11.533,0.12017
23995622539,24705,2021-11-23 06:05:11.547,0.12271
23995622540,24705,2021-11-23 06:05:11.563,0.12195
23995622541,24705,2021-11-23 06:05:11.587,0.1161
23995622542,24705,2021-11-23 06:05:11.603,0.12083
